epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,762.461,1.2396,2.99759,1.0253,0.0038,0.32759,0.08094,0.05658,1.45182,3.88662,1.21681,0.000362776,0.000362776,0.000362776
2,1485.34,1.19351,1.62048,1.01157,0.67978,0.15744,0.22746,0.14618,1.51839,2.9208,1.24659,0.000721013,0.000721013,0.000721013
3,2198.08,1.1789,1.45173,1.01911,0.52533,0.39921,0.33075,0.19839,1.46907,2.182,1.29094,0.00106703,0.00106703,0.00106703
4,2929.06,1.13613,1.29855,0.99833,0.43154,0.47029,0.37029,0.22219,1.41621,1.93906,1.25784,0.00105601,0.00105601,0.00105601
5,3695.1,1.10076,1.21744,0.9893,0.60395,0.53339,0.44982,0.27166,1.36355,1.90899,1.23117,0.00103767,0.00103767,0.00103767
6,4491.88,1.06779,1.08991,0.98166,0.62405,0.51935,0.46343,0.27332,1.33148,1.68999,1.18904,0.00101934,0.00101934,0.00101934
7,5278.62,1.02703,1.01149,0.96294,0.57666,0.5161,0.45539,0.28038,1.29914,1.68719,1.18289,0.00100101,0.00100101,0.00100101
8,6017.05,1.02006,0.9588,0.96731,0.61001,0.54515,0.47557,0.30351,1.2584,1.573,1.17549,0.000982679,0.000982679,0.000982679
9,6752.07,1.01064,0.93438,0.95618,0.56854,0.55071,0.46327,0.27439,1.31713,1.49983,1.207,0.000964348,0.000964348,0.000964348
10,7532.08,0.9873,0.86897,0.94617,0.62284,0.59955,0.51023,0.32001,1.23626,1.39706,1.16185,0.000946016,0.000946016,0.000946016
11,8261.54,0.9713,0.84306,0.94681,0.63787,0.57979,0.51438,0.32881,1.20257,1.5003,1.14702,0.000927685,0.000927685,0.000927685
12,8975.43,0.9599,0.8077,0.94335,0.64405,0.59269,0.53783,0.34837,1.19758,1.38713,1.11786,0.000909353,0.000909353,0.000909353
13,9692.02,0.95892,0.77707,0.94553,0.65453,0.60727,0.53678,0.35522,1.17908,1.36074,1.17639,0.000891022,0.000891022,0.000891022
14,10408.3,0.92335,0.75086,0.92908,0.64445,0.64121,0.55129,0.36498,1.18723,1.30401,1.1628,0.000872691,0.000872691,0.000872691
15,11095.5,0.92038,0.74234,0.92648,0.67566,0.62681,0.54834,0.36156,1.18282,1.37542,1.14613,0.000854359,0.000854359,0.000854359
16,11775.2,0.92919,0.7363,0.93233,0.64779,0.65972,0.55991,0.37129,1.13703,1.31212,1.14735,0.000836027,0.000836027,0.000836027
17,12451.6,0.87361,0.67666,0.91888,0.67801,0.61378,0.55774,0.37415,1.15386,1.30805,1.14685,0.000817696,0.000817696,0.000817696
18,13147.2,0.90472,0.68817,0.92253,0.6677,0.64862,0.5516,0.3686,1.11938,1.34774,1.11148,0.000799365,0.000799365,0.000799365
19,13825.8,0.89245,0.68672,0.92312,0.68391,0.6075,0.55104,0.3703,1.12299,1.25962,1.11406,0.000781033,0.000781033,0.000781033
20,14500.3,0.87577,0.6587,0.92031,0.65903,0.6472,0.55164,0.3647,1.12481,1.26639,1.12804,0.000762702,0.000762702,0.000762702
21,15176.3,0.89062,0.66545,0.91909,0.71907,0.6202,0.5636,0.36535,1.10538,1.25956,1.10366,0.00074437,0.00074437,0.00074437
22,15858.3,0.85331,0.6256,0.91201,0.60875,0.66485,0.56572,0.3766,1.10764,1.31501,1.1176,0.000726038,0.000726038,0.000726038
23,16533.4,0.86076,0.62695,0.90886,0.69041,0.60137,0.56975,0.38375,1.07538,1.21504,1.10257,0.000707707,0.000707707,0.000707707
24,17209.4,0.84746,0.61503,0.9132,0.6846,0.63602,0.56948,0.37525,1.08551,1.26252,1.09899,0.000689376,0.000689376,0.000689376
25,17919.1,0.84321,0.61494,0.91029,0.64229,0.60742,0.54912,0.36137,1.06497,1.266,1.07543,0.000671044,0.000671044,0.000671044
26,18594.9,0.8372,0.60164,0.90473,0.71786,0.62654,0.57796,0.3889,1.02928,1.20363,1.09075,0.000652712,0.000652712,0.000652712
27,19266.7,0.82018,0.58422,0.89381,0.70531,0.65856,0.58136,0.39093,1.0554,1.20794,1.08534,0.000634381,0.000634381,0.000634381
28,19953,0.81168,0.58051,0.89819,0.71476,0.64098,0.57973,0.39446,1.00757,1.13967,1.08854,0.000616049,0.000616049,0.000616049
29,20631.8,0.81956,0.58681,0.89712,0.716,0.70343,0.60863,0.41938,1.07345,1.16043,1.12026,0.000597718,0.000597718,0.000597718
30,21298.1,0.81216,0.56138,0.89727,0.71576,0.66627,0.60117,0.40891,1.05042,1.21894,1.09791,0.000579386,0.000579386,0.000579386
31,21980.7,0.79521,0.563,0.89018,0.70577,0.6844,0.60382,0.41154,1.02038,1.17895,1.08736,0.000561055,0.000561055,0.000561055
32,22654.4,0.78571,0.55897,0.88904,0.70051,0.69286,0.5986,0.41157,1.02373,1.1772,1.0989,0.000542723,0.000542723,0.000542723
33,23335.1,0.78024,0.54623,0.88696,0.70203,0.67646,0.60095,0.4144,1.03079,1.19456,1.08849,0.000524392,0.000524392,0.000524392
34,24008.5,0.78506,0.54388,0.888,0.69267,0.69886,0.5991,0.42312,0.98117,1.16406,1.06616,0.00050606,0.00050606,0.00050606
35,24730.9,0.75891,0.52725,0.88202,0.66534,0.69328,0.6001,0.42305,0.99525,1.16674,1.06563,0.000487729,0.000487729,0.000487729
36,25426.3,0.76151,0.52518,0.87832,0.70054,0.69854,0.61376,0.42225,0.99449,1.14021,1.08434,0.000469397,0.000469397,0.000469397
37,26102.8,0.74305,0.51423,0.87922,0.68527,0.7209,0.62122,0.44045,0.96185,1.13496,1.05764,0.000451066,0.000451066,0.000451066
38,26781.3,0.75765,0.51742,0.87947,0.68845,0.72922,0.62771,0.43645,0.96736,1.14466,1.05645,0.000432734,0.000432734,0.000432734
39,27461.5,0.7594,0.5146,0.8801,0.71386,0.71622,0.63772,0.44522,0.98183,1.12326,1.06561,0.000414403,0.000414403,0.000414403
40,28137.2,0.74709,0.50204,0.88034,0.70697,0.71124,0.63796,0.45396,0.95315,1.10641,1.05568,0.000396071,0.000396071,0.000396071
41,28813.2,0.71678,0.48388,0.88002,0.70756,0.72559,0.63822,0.44984,0.95012,1.12882,1.07135,0.00037774,0.00037774,0.00037774
42,29485.1,0.72223,0.49117,0.87166,0.72084,0.7266,0.62733,0.44169,0.9705,1.12571,1.08008,0.000359409,0.000359409,0.000359409
43,30160.1,0.72824,0.49907,0.87601,0.70974,0.72463,0.63861,0.45003,0.94947,1.08487,1.05868,0.000341077,0.000341077,0.000341077
44,30839.7,0.72249,0.48027,0.87906,0.73268,0.72572,0.63668,0.44894,0.93272,1.09758,1.05448,0.000322745,0.000322745,0.000322745
45,31516.1,0.70845,0.4782,0.87365,0.71797,0.72682,0.64221,0.45316,0.94,1.10227,1.06328,0.000304414,0.000304414,0.000304414
46,32222.7,0.70731,0.47896,0.87343,0.70025,0.74563,0.64857,0.45958,0.93883,1.0971,1.05744,0.000286083,0.000286083,0.000286083
47,32897.1,0.68585,0.45894,0.86557,0.74011,0.72625,0.64968,0.46242,0.91394,1.09825,1.04051,0.000267751,0.000267751,0.000267751
48,33570.5,0.69471,0.46151,0.86393,0.71079,0.73544,0.65334,0.46297,0.90719,1.09282,1.05236,0.00024942,0.00024942,0.00024942
49,34252.8,0.69675,0.46103,0.86894,0.71833,0.735,0.64617,0.46574,0.90076,1.0967,1.05234,0.000231088,0.000231088,0.000231088
50,34928.2,0.69215,0.46429,0.86676,0.71313,0.7257,0.64607,0.46346,0.90529,1.1125,1.04857,0.000212757,0.000212757,0.000212757
51,35592.8,0.70556,0.47002,0.85712,0.71969,0.73362,0.65219,0.46511,0.90425,1.05198,1.0586,0.000194425,0.000194425,0.000194425
52,36259.5,0.6908,0.45124,0.85516,0.70635,0.74068,0.64449,0.45367,0.91213,1.07014,1.06013,0.000176094,0.000176094,0.000176094
53,36932.8,0.6691,0.44358,0.85401,0.70918,0.71651,0.64396,0.45771,0.90703,1.05556,1.0561,0.000157762,0.000157762,0.000157762
54,37610.2,0.68588,0.44721,0.85915,0.7068,0.7292,0.64801,0.46018,0.88325,1.04531,1.05393,0.000139431,0.000139431,0.000139431
55,38283.8,0.64849,0.42671,0.84841,0.7026,0.73587,0.65019,0.46441,0.87755,1.04892,1.04959,0.000121099,0.000121099,0.000121099
56,38971.2,0.65743,0.43044,0.85212,0.72501,0.74967,0.6553,0.46959,0.86438,1.03513,1.04776,0.000102768,0.000102768,0.000102768
